route,date,type
1,2026-01-05,matavfall
1,2026-01-09,glass
1,2026-01-12,restavfall
1,2026-01-19,papir
1,2026-01-26,restavfall
1,2026-02-02,matavfall
1,2026-02-09,restavfall
1,2026-02-16,papir
1,2026-02-23,restavfall
1,2026-03-02,matavfall
1,2026-03-06,glass
1,2026-03-09,restavfall
1,2026-03-16,papir
1,2026-03-23,restavfall
1,2026-03-27,matavfall
1,2026-04-07,restavfall
1,2026-04-13,papir
1,2026-04-20,restavfall
1,2026-04-27,matavfall
1,2026-05-04,restavfall
1,2026-05-08,glass
1,2026-05-11,papir
1,2026-05-18,restavfall
1,2026-05-26,matavfall
1,2026-06-01,restavfall
1,2026-06-08,papir
1,2026-06-15,restavfall
1,2026-06-22,matavfall
1,2026-06-29,restavfall
1,2026-07-06,papir
1,2026-07-13,restavfall
1,2026-07-20,matavfall
1,2026-07-27,restavfall
1,2026-07-31,glass
1,2026-08-03,papir
1,2026-08-10,restavfall
1,2026-08-17,matavfall
1,2026-08-24,restavfall
1,2026-08-31,papir
1,2026-09-07,restavfall
1,2026-09-14,matavfall
1,2026-09-21,restavfall
1,2026-09-28,papir
1,2026-10-05,restavfall
1,2026-10-12,matavfall
1,2026-10-19,restavfall
1,2026-10-26,papir
1,2026-11-02,restavfall
1,2026-11-06,glass
1,2026-11-09,matavfall
1,2026-11-16,restavfall
1,2026-11-23,papir
1,2026-11-30,restavfall
1,2026-12-07,matavfall
1,2026-12-14,restavfall
1,2026-12-18,papir
1,2026-12-28,restavfall
